file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/rating/domain/ReviewDetailImpl.java,org.broadleafcommerce.core.rating.domain.ReviewDetailImpl,class,25,14,1,2,56,0.14102565,0.7051282,13,0,13,0,0,0,13,0,0,0,10,0,0,1,9,0,0,0,2,59,10,0,1,0,0,25,3,10,0,10,0,0,0,0,36,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/rating/domain/RatingSummary.java,org.broadleafcommerce.core.rating.domain.RatingSummary,interface,4,9,1,0,36,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/rating/domain/ReviewDetail.java,org.broadleafcommerce.core.rating.domain.ReviewDetail,interface,7,11,1,0,55,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/rating/domain/ReviewFeedbackImpl.java,org.broadleafcommerce.core.rating.domain.ReviewFeedbackImpl,class,15,8,1,0,20,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,0,4,0,0,0,0,30,4,0,0,0,0,15,1,4,0,4,0,0,0,0,23,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/demo/CatalogMultiplierImpl.java,org.broadleafcommerce.core.util.demo.CatalogMultiplierImpl,class,12,10,1,26,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,0,63,1,3,0,0,0,4,9,19,4,14,3,0,0,0,45,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/demo/CatalogMultiplier.java,org.broadleafcommerce.core.util.demo.CatalogMultiplier,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/dao/CodeTypeDao.java,org.broadleafcommerce.core.util.dao.CodeTypeDao,interface,2,6,1,0,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/dao/CodeTypeDaoImpl.java,org.broadleafcommerce.core.util.dao.CodeTypeDaoImpl,class,9,8,1,12,0,0.8,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,35,5,0,1,0,1,9,0,5,0,5,1,0,0,0,28,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/service/CodeTypeService.java,org.broadleafcommerce.core.util.service.CodeTypeService,interface,2,5,1,0,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/service/CodeTypeServiceImpl.java,org.broadleafcommerce.core.util.service.CodeTypeServiceImpl,class,7,5,1,5,0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,18,4,0,0,0,0,2,0,0,0,1,0,0,0,0,18,1,0
